                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                 1.1724,                  2.441,                  1.176,                 1.0337,                0.55952,                0.17239,                0.17473,                0.10548,                0.50867,                0.15733,                0.15023,                0.07561,                  1.073,                 2.5276,                0.86694,                 1.0126,               0.006139,               0.006139,               0.006139
                     81,                 1.1903,                 2.4764,                 1.1916,                  1.039,                0.60874,                0.17738,                0.17863,                0.10873,                 0.5483,                 0.1559,                0.15063,                0.07605,                 1.0748,                 2.5281,                0.87239,                 1.0113,              0.0060895,              0.0060895,              0.0060895
                     82,                 1.1766,                 2.4601,                  1.171,                 1.0326,                0.54875,                0.16998,                0.17501,                0.10671,                  0.473,                 0.1549,                0.14951,                0.07594,                  1.075,                 2.5263,                0.86939,                 1.0117,                0.00604,                0.00604,                0.00604
                     83,                 1.1701,                 2.4553,                 1.1626,                 1.0271,                0.76427,                 0.1618,                0.17917,                0.10888,                0.67919,                0.14642,                0.15388,                0.07854,                 1.0701,                 2.5322,                0.86001,                 1.0114,              0.0059905,              0.0059905,              0.0059905
                     84,                 1.1663,                 2.4504,                  1.158,                 1.0314,                0.72216,                0.16989,                0.17234,                0.10472,                0.67424,                0.15486,                0.14794,                0.07462,                 1.0685,                 2.5271,                0.85337,                 1.0099,               0.005941,               0.005941,               0.005941
                     85,                 1.1751,                 2.4413,                 1.1789,                 1.0336,                0.47292,                0.17742,                0.17246,                0.10502,                0.37492,                0.16476,                0.14803,                 0.0742,                  1.071,                 2.5265,                0.85574,                 1.0108,              0.0058915,              0.0058915,              0.0058915
                     86,                 1.1763,                 2.4707,                 1.1737,                 1.0332,                 0.6907,                0.16542,                0.17547,                 0.1071,                0.61205,                 0.1459,                0.15002,                0.07665,                 1.0688,                 2.5284,                0.85968,                 1.0097,               0.005842,               0.005842,               0.005842
                     87,                 1.1643,                 2.4346,                 1.1701,                 1.0298,                0.69235,                0.17704,                0.17966,                 0.1107,                0.61891,                0.16008,                0.15441,                0.07849,                 1.0626,                 2.5183,                0.85467,                 1.0076,              0.0057925,              0.0057925,              0.0057925
                     88,                 1.1665,                  2.439,                 1.1675,                 1.0308,                0.68457,                0.16699,                0.17438,                0.10799,                0.52295,                0.16128,                0.15242,                0.07767,                 1.0666,                  2.521,                0.85699,                 1.0081,               0.005743,               0.005743,               0.005743
                     89,                  1.171,                 2.4627,                  1.181,                 1.0341,                0.69137,                0.16304,                0.17221,                0.10623,                0.62551,                0.14719,                0.14676,                 0.0755,                 1.0668,                 2.5184,                0.85426,                 1.0084,              0.0056935,              0.0056935,              0.0056935
