                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.1143,                  2.363,                 1.0934,                 1.0215,                0.64955,                0.17156,                0.18798,                0.11581,                0.58591,                0.16005,                0.16523,                0.08205,                 1.0182,                 2.4307,                0.81696,                 1.0054,              0.0060895,              0.0060895,              0.0060895
                     82,                 1.1214,                 2.3684,                 1.1043,                 1.0206,                 0.6882,                0.17873,                0.19642,                0.12009,                0.64382,                0.16087,                0.17173,                0.08532,                 1.0178,                 2.4398,                0.81829,                 1.0025,                0.00604,                0.00604,                0.00604
                     83,                 1.1116,                  2.356,                 1.1033,                  1.018,                0.55699,                0.19446,                0.19731,                0.12104,                0.61834,                0.15523,                 0.1684,                0.08631,                 1.0132,                  2.439,                0.81463,                 1.0027,              0.0059905,              0.0059905,              0.0059905
                     84,                 1.1166,                 2.3828,                 1.1073,                 1.0221,                0.61226,                0.17137,                0.19604,                 0.1207,                0.57473,                0.16092,                0.17315,                 0.0865,                 1.0173,                 2.4323,                0.80224,                 1.0023,               0.005941,               0.005941,               0.005941
                     85,                 1.1093,                 2.3434,                 1.1184,                 1.0199,                0.56295,                0.19238,                 0.1951,                0.12131,                0.50949,                0.18668,                0.17704,                0.08838,                 1.0166,                 2.4305,                0.81359,                 1.0026,              0.0058915,              0.0058915,              0.0058915
                     86,                 1.1125,                 2.3439,                 1.1043,                 1.0169,                0.59104,                0.18391,                0.19458,                0.12189,                0.54623,                0.17357,                0.17323,                0.08969,                 1.0075,                 2.4263,                0.81278,                0.99862,               0.005842,               0.005842,               0.005842
                     87,                 1.1061,                  2.333,                 1.1019,                 1.0169,                0.52336,                0.20926,                0.19111,                0.11959,                0.49587,                0.18525,                0.17087,                0.08692,                  1.009,                 2.4267,                 0.8056,                0.99915,              0.0057925,              0.0057925,              0.0057925
                     88,                 1.1055,                 2.3301,                  1.091,                 1.0157,                0.54364,                0.20342,                0.19434,                0.12162,                0.53414,                0.19183,                0.17363,                0.08674,                 1.0023,                 2.4307,                0.80136,                0.99856,               0.005743,               0.005743,               0.005743
                     89,                 1.1017,                  2.335,                 1.0888,                 1.0137,                0.56309,                0.19044,                0.19543,                0.12224,                0.49998,                0.18966,                0.16787,                0.08633,                 1.0025,                 2.4255,                0.79829,                 0.9977,              0.0056935,              0.0056935,              0.0056935
                     90,                 1.0929,                 2.3303,                 1.0669,                 1.0065,                0.55484,                0.19641,                0.19475,                0.12071,                0.51015,                0.18513,                0.17451,                0.08732,                 1.0025,                 2.4318,                0.79547,                0.99789,               0.005644,               0.005644,               0.005644
                     91,                 1.0934,                 2.3274,                  1.074,                 1.0138,                0.55191,                0.19338,                0.19414,                0.12016,                0.57508,                0.16211,                0.16873,                0.08538,                 1.0031,                 2.4288,                0.79149,                0.99697,              0.0055945,              0.0055945,              0.0055945
                     92,                  1.099,                 2.3318,                 1.1058,                 1.0136,                0.60841,                0.20948,                0.20144,                0.12433,                0.55292,                0.18486,                0.17291,                0.08939,                 1.0018,                 2.4336,                0.80292,                0.99636,               0.005545,               0.005545,               0.005545
                     93,                 1.1035,                 2.3503,                 1.0838,                 1.0132,                0.57079,                0.19981,                0.21164,                0.13129,                0.53286,                0.18197,                  0.183,                0.09528,                0.99871,                 2.4204,                 0.7894,                0.99341,              0.0054955,              0.0054955,              0.0054955
                     94,                 1.0999,                 2.3192,                 1.0997,                 1.0155,                0.67685,                0.19177,                0.20671,                0.12819,                0.64894,                0.17056,                 0.1799,                0.09186,                0.99888,                 2.4139,                0.78945,                0.99536,               0.005446,               0.005446,               0.005446
                     95,                 1.1036,                 2.3447,                 1.0897,                 1.0183,                0.61641,                0.18106,                 0.2019,                0.12621,                0.59024,                0.16645,                0.17732,                0.08998,                 1.0003,                 2.4137,                0.78708,                0.99617,              0.0053965,              0.0053965,              0.0053965
                     96,                 1.0999,                 2.3352,                 1.0863,                 1.0154,                0.56174,                0.19051,                0.20277,                0.12555,                0.56088,                0.17278,                 0.1782,                 0.0913,                 1.0003,                 2.4185,                 0.7961,                0.99532,               0.005347,               0.005347,               0.005347
                     97,                 1.0904,                 2.3139,                 1.0856,                 1.0089,                0.59152,                0.18452,                0.20115,                0.12629,                0.56462,                0.16645,                0.17862,                0.09229,                 0.9967,                 2.4103,                0.78925,                0.99438,              0.0052975,              0.0052975,              0.0052975
                     98,                 1.0801,                 2.3114,                 1.0711,                 1.0059,                0.63644,                0.18869,                0.20665,                0.13018,                0.61005,                0.17326,                0.18386,                0.09437,                 0.9908,                 2.4098,                0.78453,                0.99146,               0.005248,               0.005248,               0.005248
                     99,                 1.1021,                 2.3425,                 1.0973,                 1.0116,                0.58974,                0.19737,                0.20405,                0.12592,                0.56737,                0.17078,                0.17322,                0.08915,                0.98466,                 2.4113,                0.78357,                0.99193,              0.0051985,              0.0051985,              0.0051985
                    100,                 1.0907,                 2.3064,                 1.0807,                 1.0128,                0.59391,                0.19573,                0.20542,                0.12795,                0.54652,                0.18541,                0.17745,                0.09266,                0.98878,                 2.4134,                0.78248,                   0.99,               0.005149,               0.005149,               0.005149
                    101,                 1.0879,                 2.3027,                 1.0888,                 1.0063,                0.60769,                0.19202,                0.20552,                0.12988,                0.58344,                0.16709,                0.18111,                0.09262,                0.98604,                 2.3971,                0.78099,                0.99047,              0.0050995,              0.0050995,              0.0050995
                    102,                 1.0848,                 2.3248,                  1.082,                 1.0098,                0.57359,                0.19701,                0.20636,                0.13151,                 0.5338,                 0.1764,                0.17965,                0.09271,                0.98779,                 2.4058,                0.78249,                0.99009,                0.00505,                0.00505,                0.00505
